skill_no,grammar_skills,skill_description,skill_examples
11,"Possessive 's: a friend's car, John's book","We use ’s (apostrophe + s) to show that something belongs to someone. It is another way of saying whose thing it is.

Structure:

Noun/Name + ’s + thing
John’s book → the book of John
My friend’s car → the car of my friend

We use ’s only with people, animals, or time expressions.

John’s car (a person)
The dog’s food (an animal)
Today’s weather (time)

The table’s leg → (better to say “the leg of the table”)
For things/objects, we usually use of instead of ’s.
The door of the car.
The car’s door (less common in A1 level, though sometimes used in everyday speech).","1. This is my friend’s pen.
2. That is John’s book.
3. The children’s room is upstairs."
12,Articles: a/an,"Articles are small words we use before nouns. The words a and an mean “one” or “any” and are used when we talk about something in general, not something specific.

How to use a / an

Use “a” before consonant sounds

a dog
a book
a car
a teacher

Use “an” before vowel sounds (a, e, i, o, u)

an apple
an egg
an orange
an umbrella
an interesting movie

Note: It depends on the sound, not just the first letter:

A university (sounds like you → consonant sound)
An hour (the h is silent → vowel sound)","1. I have a pen.
2. She is eating an apple.
3. He wants to buy a car."
13,"Plural Nouns: regular (-s, -es) ","A noun is a word that names a person (teacher, child), place (city, park), animal (dog, cat), or thing (book, chair).
In English, nouns can be singular (only one) or plural (more than one).
Singular means one: a cat, one child, my friend.
Plural means more than one: two cats, many children, our friends.
To make nouns plural, we usually change their form. Most nouns simply add -s, but some require -es or change in special ways. A few words do not change at all. Learning plural nouns is very important because we use them all the time when talking about daily life — our families, things we own, food we eat, or people we meet.

1. Regular Plurals with -s

For most nouns, we simply add -s to make the plural.
book → books
car → cars
dog → dogs
pen → pens
This is the most common way to form plurals in English.

2. Plurals ending with -es

If a noun ends in a sound that is hard to pronounce with just -s, we add -es.
This usually happens when the word ends in: -s, -sh, -ch, -x, -o.

bus → buses
dish → dishes
watch → watches
box → boxes
potato → potatoes

3. Nouns ending in consonant + y

If the noun ends with a consonant + y, we change y → i and add -es.

baby → babies
city → cities

But if the word ends in vowel + y, just add -s.

boy → boys
toy → toys

4. Irregular Plurals

Some words change completely in the plural. These do not follow a rule, so you must remember them.

man → men
woman → women
child → children
person → people
tooth → teeth
foot → feet

mouse → mice","1. I have two books. 
2. There are three buses.
3. The dogs are playing in the park."
14,"Plural Nouns: common irregulars (people, children)","A noun is a word that names a person (teacher, child), place (city, park), animal (dog, cat), or thing (book, chair).
In English, nouns can be singular (only one) or plural (more than one).
Singular means one: a cat, one child, my friend.
Plural means more than one: two cats, many children, our friends.
To make nouns plural, we usually change their form. Most nouns simply add -s, but some require -es or change in special ways. A few words do not change at all. Learning plural nouns is very important because we use them all the time when talking about daily life — our families, things we own, food we eat, or people we meet.

1. Regular Plurals with -s

For most nouns, we simply add -s to make the plural.
book → books
car → cars
dog → dogs
pen → pens
This is the most common way to form plurals in English.

2. Plurals ending with -es

If a noun ends in a sound that is hard to pronounce with just -s, we add -es.
This usually happens when the word ends in: -s, -sh, -ch, -x, -o.

bus → buses
dish → dishes
watch → watches
box → boxes
potato → potatoes

3. Nouns ending in consonant + y

If the noun ends with a consonant + y, we change y → i and add -es.

baby → babies
city → cities

But if the word ends in vowel + y, just add -s.

boy → boys
toy → toys

4. Irregular Plurals

Some words change completely in the plural. These do not follow a rule, so you must remember them.

man → men
woman → women
child → children
person → people
tooth → teeth
foot → feet

mouse → mice","1. There are many children in the park.
2. The farmer has three sheep in the field.
3. I saw two men near the shop.
4. Those women are teachers.
5. The mice are eating cheese"
15,"Demonstratives: this, that, these, those","Definition:
Demonstratives are words we use to point to things or people. They show if something is near or far and if it is singular (one) or plural (more than one).

There are four demonstratives in English:

This – singular, something near us
That – singular, something far from us
These – plural, things near us
Those – plural, things far from us

Why this is important?

Demonstratives help us to show exactly what we are talking about. They make our meaning clear when there are many objects or people.","1. This pen is blue.
2. That car is very old.
3. These apples are sweet.
4. Those books are on the table."
16,have got: for possession,"‘Have got’ / ‘Has got’: for possession

Definition:
We use have got and has got to show possession – things we own, relationships, or body parts. It means the same as have / has in this use.

Forms:

I / you / we / they → have got
He / she / it → has got","1. We have got a big house.
2. She has got two brothers.
3. Have you got any water?"
17,has got: for possession,"‘Have got’ / ‘Has got’: for possession

Definition:
We use have got and has got to show possession – things we own, relationships, or body parts. It means the same as have / has in this use.

Forms:

I / you / we / they → have got
He / she / it → has got","1. He has got a pet.
2. My friend has got long hair.
3. She has got her exam on Monday. "
18,Past Simple (to be): was/were,"We use was and were to talk about the past – to say where someone was, how they felt, or what something was like before now.

Forms:

I / he / she / it → was
You / we / they → were

When do we use it?

To say where someone/something was in the past:
He was in London last year.

To talk about feelings or situations in the past:
They were excited about the trip.

To describe how things were before:
The weather was cold yesterday.","1. I was tired after the run.
2. She was a student two years ago.
3. They were at the cinema last night."
19,Past Simple: regular verbs (-ed),"The Past Simple with regular verbs is used to talk about finished actions in the past. To make the past form of regular verbs, we usually add -ed to the verb.

How to form it

Positive statements:
Subject + verb-ed

I played football yesterday.
She worked in an office last year.

Negative statements:
Subject + did not (didn’t) + base verb

I didn’t play football yesterday.
They didn’t watch TV.

Questions:
Did + subject + base verb
Did you play football?
Did she watch the movie?","1. I watched TV last night.
2. He studied English yesterday.
3. They visited Delhi last year."
20,"Past Simple: common irregular verbs (went, saw, got)","The Past Simple is used to talk about finished actions in the past.
With irregular verbs, we do not add -ed. Instead, the verb changes form.
For example:

go → went
see → saw
get → got

How to form it:

Positive statements:
Subject + irregular past form

I went to the park yesterday.
She saw her friend last night.

Negative statements:
Subject + did not (didn’t) + base verb

I didn’t go to the park yesterday.
They didn’t see the movie.

Questions:
Did + subject + base verb

Did you go to the park?
Did he get a new phone?","1. We went shopping last Saturday.
2. He saw a rainbow in the morning.
3. I got a new book yesterday."
21,Past Simple (negatives): didn't,"We use the Past Simple negative to say that something did not happen in the past.
We use did not (didn’t) + the base form of the verb (not the past form).

How to form it:

Subject + didn’t + base verb

I didn’t go to school yesterday.
She didn’t watch TV last night.

Note: After didn’t, the verb is always in the base form (go, watch, play), not the past form.

When do we use it?
To say an action did not happen in the past.
To talk about what was not true before.","1. I didn’t eat breakfast this morning.
2. They didn’t play football yesterday.
3. She didn’t see her friend at the party."
22,Past Simple (questions): Did you...?,"Definition:
We use Did to ask questions about actions or events in the past.
The main verb always stays in the base form (not past).

Structure:

Did + subject + base verb + ... ?
Did you go to school yesterday?
Did she play football last week?

Note: The verb after Did does not change to past form.

When do we use it?

To ask about something that happened in the past.
- Did he watch the movie yesterday?
To ask about someone’s experience or action.
- Did they travel last summer?
To ask for yes/no answers or details.","1. Did you eat breakfast today?
2. Did they play cricket yesterday?
3. Did he see his friend at the park?"
23,There is / There are,"We use there is and there are to say that something exists or is present in a place.

There is → for one thing (singular).
There are → for more than one thing (plural).

Structure:

There is + singular noun
Example: There is a book on the table.

There are + plural noun
Example: There are two books on the table.

When do we use it?

To talk about things we can see or find.

There is a dog in the garden.
There are many stars in the sky.
To describe a place or a situation.
There is a park near my house.
There are some shops in the city.","1. There is a pen on the desk.
2. There is a cat in the garden.
3. There are three people in the room."
24,"Pronouns (Subject): I, you, he, she, it, we, they","Subject pronouns are words we use instead of a noun to show who is doing the action in a sentence. They are the subject of the sentence.

List of Subject Pronouns

I → when you talk about yourself
You → when you talk to someone
He → for a man or boy
She → for a woman or girl
It → for an animal or a thing
We → when you talk about yourself and others
They → for two or more people or things

When do we use them?
At the start of a sentence before a verb.
To say who does the action.","1. I am a student.
2. You are my friend.
3. He is a teacher.
4. She is my sister.
5. It is a small cat.
6. We are friends.
7. They are in the park."
25,"Pronouns (Object): me, you, him, her, it, us, them","Object pronouns are words we use instead of a noun as the object of a verb or preposition. They show who receives the action.

List of Object Pronouns

me → for yourself (object)
you → for the person you talk to
him → for a man or boy
her → for a woman or girl
it → for an animal or thing
us → for you and others
them → for two or more people or things

When do we use them?

After a verb (I like him).
After a preposition (with me, for her).","1. She likes me.
2. I know you.
3. We see him every day."
26,Countable Nouns (basic): a book ,"Nouns can be countable or uncountable.

Countable nouns are things we can count (one, two, three…).

Uncountable nouns are things we cannot count in pieces, like liquids, materials, or abstract ideas.

Countable Nouns:

- Have singular and plural forms.
- Use a/an for one thing.
- Use numbers and many.

Uncountable Nouns

- Do NOT have plural forms.
- We do not use a/an with them.
-Use some, much, or measure words (a glass of, a piece of).","1.I have a book on the table. 
2.She eats two bananas every day. 
3. There are two chairs in the room. "
27,some: in positive/negative sentences and questions,"We use some and any to talk about an unspecified quantity of something. They are often used with plural countable nouns and uncountable nouns.

How to Use Them

Some:

- Used in positive sentences.
- Often used when offering or requesting politely.

Any:

- Used in negative sentences and questions.
- Means zero or none in negative sentences.

Quick Rules:
Positive → some
Negative → any
Questions → any (usually), but some can be used in offers/requests:
""Would you like some coffee?""","1. I have some apples in my bag. 
2. She doesn’t want some water right now. 
3. Do you want some tea? "
28,Uncountable Nouns (basic): some water,"Nouns can be countable or uncountable.

Countable nouns are things we can count (one, two, three…).

Uncountable nouns are things we cannot count in pieces, like liquids, materials, or abstract ideas.

Countable Nouns:

- Have singular and plural forms.
- Use a/an for one thing.
- Use numbers and many.

Uncountable Nouns

- Do NOT have plural forms.
- We do not use a/an with them.
-Use some, much, or measure words (a glass of, a piece of).","1.I need some water.
2. She bought some rice.
3. There is some milk in the fridge."
29,"Adjectives (basic): big, small, happy, sad","Adjectives are words that describe nouns (people, things, places, animals). They give us more information about how something or someone is.

How to Use Them-

Adjectives usually come before a noun:

a big house
a small bag

Adjectives can also come after the verb “to be” (am/is/are):

The house is big.
She is happy.

Common Basic Adjectives:

big – not small
small – not big
happy – feeling good
sad – not happy","1. This is a big dog.
2. That is a small room.
3. The city is big and beautiful.
4. She is happy with her new bag.
5. We are sad because it is raining."
30,"Conjunctions: and, but, or","Conjunctions are words that join two or more words, phrases, or sentences together to make one complete idea. They help us connect similar ideas, show differences, or give choices.

Common Conjunctions at A1 level:

And – to add information.

Example: I like tea and coffee.

But – to show contrast (different ideas)

Example: I like tea, but I don’t like coffee.

or – to show a choice

Example: Do you want tea or coffee?","1. I have a pen and a pencil.
2. She is tall, but he is short.
3. Do you want pizza or pasta?"
31,"Prepositions of Place: in, on, at, under","Prepositions of place are words that tell us where something or someone is. They show the position of a person or thing in relation to another object or place.

Common Prepositions of Place:

in – inside something
on – on the surface of something
at – at a specific point or place
under – below something","1. The cat is in the box.
2. The keys are on the desk.
3. He is at the door.
4. My shoes are under the bed."
32,"Prepositions of Time: in (the morning), on (Monday), at (night)","Prepositions of time are words that tell us when something happens. They show the time of an action or event.

Common Prepositions of Time:

in – for months, years, seasons, and parts of the day
on – for days and dates
at – for exact times and some special phrases

How to Use Them:
in → months (in July), years (in 2025), parts of the day (in the afternoon)
on → days (on Friday), dates (on 10 August)
at → exact time (at 5 p.m.), special times (at midnight, at night)","1. I go for a walk in the evening.
2. She was born in 2001.
3. We have a meeting on Tuesday.
4. They sleep early at night."
33,any: in positive/negative sentences and questions,"We use some and any to talk about an unspecified quantity of something. They are often used with plural countable nouns and uncountable nouns.

How to Use Them

Some:

- Used in positive sentences.
- Often used when offering or requesting politely.

Any:

- Used in negative sentences and questions.
- Means zero or none in negative sentences.

Quick Rules:
Positive → some
Negative → any
Questions → any (usually), but some can be used in offers/requests:
""Would you like some coffee?""","1. Is there any milk at home?
2. There aren’t any buses after 10 PM. 
3. Do you have any sugar?"
34,Can/Can't: for ability,"Can is used to show that someone is able to do something (ability) or is allowed to do something (permission).

Can’t (cannot) means not able to do something or not allowed to do something.

How to Form It:

Positive: Subject + can + verb
Example: I can swim.

Negative: Subject + can’t + verb
Example: She can’t drive.

Question: Can + subject + verb?
Example: Can you help me?

When to Use:

Ability – what someone is able to do

I can play the guitar.
She can’t speak French.
Permission – what is allowed or not allowed
You can park here.
You can’t use your phone in class.","1. I can run 10 kilometers without stopping.
2. She can’t play the guitar very well.
3. They can speak three different languages."
35,Can/Can't: for permission,"Can is used to show that someone is able to do something (ability) or is allowed to do something (permission).

Can’t (cannot) means not able to do something or not allowed to do something.

How to Form It:

Positive: Subject + can + verb
Example: I can swim.

Negative: Subject + can’t + verb
Example: She can’t drive.

Question: Can + subject + verb?
Example: Can you help me?

When to Use:

Ability – what someone is able to do

I can play the guitar.
She can’t speak French.
Permission – what is allowed or not allowed
You can park here.
You can’t use your phone in class.","1. You can’t park here.
2. We can’t use our phones in class.
3. He can’t go outside now."
36,"Question Words: What, Where, When, Who","Question words help us ask for specific information. Each word has a different meaning:

What → asks about things or information.
Where → asks about a place.
When → asks about time.
Who → asks about a person.

How to Form Questions:

Question Word + (do/does/is/are) + subject + rest of the sentence?
Example: What is your name?

When to Use:

What → for objects, activities, or information (What is this?).
Where → for places (Where do you live?).
When → for time or dates (When is your birthday?).
Who → for people (Who is your best friend?).","1. What is your favorite color?
2. Where do you live?
3. When do you wake up?
4. Who lives in this house?"
37,"Adverbs of Frequency: always, usually, sometimes, never","Adverbs of frequency tell us how often something happens.

always → 100% of the time
usually → about 80% of the time
sometimes → about 50% of the time
never → 0% of the time

Word Order:

In most cases, the adverb comes before the main verb.
Example: I always eat breakfast.

With verb “to be”, the adverb comes after the verb.
Example: She is usually happy.","1. I always drink water in the morning.
2. We usually go to the park on Sundays.
3. He sometimes plays football after school."
38,Word Order (basic): Subject-Verb-Object,"In English, the normal sentence structure is Subject + Verb + Object.

Subject (S): Who or what does the action.

Verb (V): The action or state.

Object (O): Who or what receives the action.

Basic Pattern:

Subject + Verb + Object
Example: I (Subject) eat (Verb) apples (Object).

Rules:

The subject comes first in most sentences.
The verb comes after the subject.
The object comes after the verb (if there is one).","1. She reads a book.
2. We play football.
3. I like music."
39,be going to': for future plans (basic introduction),"We use ‘be going to’ to talk about something we plan to do in the future. It shows an intention or decision made before speaking.

Structure:

Subject + am/is/are + going to + base verb

I am going to travel.
She is going to study.
They are going to play.

When do we use it?

For a plan or decision:
I’m going to visit my friend next week.

For something that seems sure to happen:
Look at those clouds! It’s going to rain.","1. I am going to buy a new phone.
2. He is going to play football tomorrow.
3. We are going to visit our grandparents."
40,like/love/hate + -ing: I like swimming.,"When we use the verbs like, love, or hate to talk about activities, we often add -ing to the next verb. This is called the gerund form.

Structure:

Subject + like/love/hate + verb(-ing)

I like reading.
She loves cooking.
They hate running.
When do we use it?

To talk about things we enjoy or don’t enjoy:
I like swimming in the sea.

To show preferences:
He hates waiting in long lines.","1. I like swimming in the pool.
2. She loves dancing at parties.
3. They hate cleaning the house."
41,How much...? / How many...?,"How much” and “How many” are used to ask questions about quantity. These questions help in everyday situations, like shopping, cooking, or talking about time and money.

- “How much” is used with uncountable nouns.
Uncountable nouns are things we cannot count as individual items, such as water, sugar, money, milk, rice, time.

- “How many” is used with countable nouns in the plural form.
Countable nouns are things we can count as separate items, such as books, apples, pens, chairs, friends.

- Structures:
How much + uncountable noun + is/are/there/verb…?
How many + plural countable noun + is/are/there/verb…?","1. How much sugar is in the tea?
2. How many chairs are in the classroom? 
3. How much money do you have? 
4. How many apples are in the basket? 
5. How much milk is in the fridge? 
6. How many students are in your class?"
42,Making simple requests: Can I have...?,"We use “Can I have...?” to ask politely for something. It is a very common and simple way to make a request in English.

Structure:

Can I have + noun (please)?

We use please to make it polite.

When to Use:

In a restaurant or café
In a shop
At someone’s home

You can also say “Could I have...?” (more polite) or “May I have...?” (formal).","1. Can I have a glass of water, please?
2. Can I have some bread?
3. Can I have your phone number?"
43,"Giving personal information: name, age, nationality","- Learners should be able to give basic personal information when introducing themselves. This includes telling their name, age, and nationality in short, simple sentences. These are some of the first things we share when meeting new people, making it an essential skill for everyday communication.

- Name: Learners use the verb “to be” or the phrase “My name is”.
Example: I am Rani. / My name is Rani.

- Age: In English, we use the verb “to be” (not have) to talk about age.
Example: I am 20 years old.

- Nationality: To say nationality, learners use “I am + nationality” or “I am from + country”.
Example: I am Indian. / I am from India.

- Learners at this level should practice answering and asking these questions:
What is your name?
How old are you?
Where are you from?

- This skill helps learners introduce themselves politely and confidently in new situations, such as classrooms, meetings, or while traveling.","1. My name is Arjun.
2. I am 18 years old.
3. I am Riya, and I am 20 years old."
44,Describing people and things (simple),"We use simple adjectives and basic structures to talk about what a person or thing looks like, their age, color, size, or other basic qualities.

Structure:

Subject + be (am/is/are) + adjective
Example: She is tall.

We can also use:
Subject + have/has + noun
Example: He has black hair.

Common Adjectives:

For size: big, small, tall, short
For appearance: beautiful, pretty, handsome
For age: young, old
For color: red, blue, black, green","1. She is tall and thin.
2. He is young and handsome.
3. They are short but strong."
45,Forming yes/no questions,"A Yes/No question is a question that can be answered with “Yes” or “No.”

How to Form Them:

The structure depends on the verb:

With verb “to be” (am/is/are):
Am/Is/Are + subject + complement?

With other verbs (Present Simple):
Do/Does + subject + verb?

With Past Simple:
Did + subject + verb?

Start the question with the helping verb (am/is/are, do/does, did).","1. Are you happy? 
2. Is he your brother? 
3. Do you play football? "
46,"Short answers: Yes, I am. / No, he doesn't.","A short answer is a polite and simple way to respond to a Yes/No question without repeating the whole sentence.

How to Form Them:

Use Yes/No + subject pronoun + helping verb (or auxiliary verb).
We do not use the full verb again.

Examples by Tense:

Verb “to be” (Present):

Are you happy? → Yes, I am. / No, I’m not.
Is he a teacher? → Yes, he is. / No, he isn’t.

Present Simple (with do/does):

Do you like pizza? → Yes, I do. / No, I don’t.
Does she play tennis? → Yes, she does. / No, she doesn’t.

Past Simple (with did):

Did they go to school? → Yes, they did. / No, they didn’t.
Key Points:

- Always use the helping verb (am/is/are, do/does, did).
- Never repeat the main verb.
- Use the correct pronoun.","1. Are you tired? → Yes, I am. / No, I’m not.
2. Does he play football? → Yes, he does. / No, he doesn’t.
3. Did they go to the park? → Yes, they did. / No, they didn’t."
47,"Adjective order (basic): a nice, new house","When we use two or more adjectives before a noun, they usually follow a certain order in English. At the A1 level, we focus on opinion and fact adjectives.

Opinion adjectives tell us what we think about something (e.g., nice, beautiful, ugly).

Fact adjectives give factual information like size, age, color (e.g., big, new, red).

Basic order:
Opinion → Fact → Noun
Example: a nice (opinion) new (fact) house (noun)","1. She has a beautiful big garden.
2. I bought an old wooden table.
3. They live in a small red house."
48,because': to give a simple reason," The word because is a conjunction. It is used to connect two ideas: one is the result or action, and the other is the reason for that result or action. In other words, because answers the question “Why?”.

When we use because, we explain why something happened, why someone does something, or why something is true. The clause after because gives the reason.

Main clause (result) + because + reason","1. I stayed home because it was raining.
2. She is happy because she got a new job.
3. We didn’t go out because we were tired."
49,"also', 'too': to add information","Both also and too are words used to add extra information or to say that something is similar to what was said before. They show agreement or addition.

How to use ‘also’:

Also is usually used in the middle of the sentence, before the main verb (except be), or after to be.
It is more formal than too.

How to use ‘too’:

'Too' is usually placed at the end of the sentence.
It is more common in everyday speaking.

Also → goes in the middle of the sentence (before the main verb).
Too → goes at the end of the sentence.","1. I like pizza too.
2. She also likes music.
3. I also play chess.
4. They can speak Spanish too."
50,"Comparative Adjectives (basic): bigger, older, more expensive","Comparative adjectives are used to compare two people, animals, places, or things. They show which one has more of a quality (bigger, older, more expensive).

How to form comparatives:

For short adjectives (one syllable):
Add -er to the adjective.

Big → bigger
Tall → taller

For adjectives ending in -y:
Change y to i and add -er.

Happy → happier

For long adjectives (two or more syllables):
Use more before the adjective.

Expensive → more expensive
Beautiful → more beautiful","1. This house is bigger than that one.
2. My brother is older than me.
3. This bag is more expensive than yours."
51,Present Continuous vs. Present Simple: differences in use,"Definition:

Present Simple is used for things that happen regularly, facts, and routines.
Present Continuous is used for things happening right now or around now.

How to form them:

Present Simple: Subject + base verb (+ s/es for he/she/it)
Present Continuous: Subject + am/is/are + verb + -ing

When to use:

Present Simple:

Things you do every day or often (habits).
Facts or things that are always true.

Present Continuous:

Things happening right now.
Temporary actions (for a short time).
","1. I read books every evening.
2. He works in an office.
3. I am reading a book now.
4. He is working on his computer right now."
52,Present Continuous for future arrangements,"Present Continuous can talk about plans or arrangements for the near future. These are things that are already decided or organized.
Form:
Subject + am/is/are + verb(-ing) + (future time)
Examples of time words: tonight, tomorrow, next week, on Friday.
We use the Present Continuous for:
Personal arrangements: meeting a friend, going on a trip
Social plans: dinner, parties, visits
","1. I am meeting my friend tomorrow.
2. She is visiting her grandparents next weekend.
3. We are having dinner at 8 p.m. tonight."
53,be going to' vs will for predictions ,"‘Be going to’ and ‘will’ are both used to talk about the future, but they show different meanings.
‘Be going to’ is used for plans, intentions, and predictions with evidence.
‘Will’ is used for decisions made at the moment, general predictions, and offers/promises.
Form: Subject + am/is/are + going to + verb
Form: Subject + will + verb
Key Difference:
‘Be going to’ = planned or based on evidence
‘Will’ = spontaneous or general prediction","1. Look at those dark clouds — it’s going to rain.
2. She’s running so fast — she’s going to win the race.
3. I think it will rain tomorrow."
54,be going to' vs 'will' for intentions,"
‘Will’ is used for decisions made at the moment, general predictions, and offers/promises.
Form: Subject + am/is/are + going to + verb
Form: Subject + will + verb
Key Difference:
‘Be going to’ = planned or based on evidence
‘Will’ = spontaneous or general prediction","1. I am going to study medicine when I finish school. 
2. She is going to join the dance club this year. 
3. I think I will order a pizza for dinner. "
55,Past Continuous: I was doing,"The Past Continuous tense shows that an action was in progress at a specific time in the past. It describes something that was happening, not finished.
Form:
Subject + was/were + verb + -ing
I/he/she/it → was
you/we/they → were
Uses
An action in progress at a time in the past.
Two actions happening at the same time.
Background action for another event.
","1. I was studying at 10 p.m. yesterday.
2. They were playing football in the park.
3. He was reading a book while I was writing a letter."
56,"Past Continuous vs. Past Simple: while I was working, he called","We use Past Continuous for an action that was in progress in the past.
We use Past Simple for an action that happened and finished quickly in the past.
When to use both together?
Use Past Continuous for the longer action (background).
Use Past Simple for the shorter action that interrupted it.
 Structure
While + Past Continuous → Shorter action in Past Simple. 
","1. I was watching TV when the phone rang.
2. She was cooking dinner when I arrived.
3. While we were walking in the park, it started to rain."
57,"Present Perfect (introduction): I have finished. (experience, recent past)","Present Perfect – Definition
The Present Perfect tense connects the past with the present.
We use it to talk about:
Experiences (at any time in your life, not when)
Recent past actions (that have an effect now)
Structure:
Subject + have/has + past participle (V3)
I/You/We/They have + V3
He/She/It has + V3
Life experience (no specific time)
 Recent action (result is important now)","1. I have visited Paris. 
2. She has lost her keys. 
3. We have just eaten lunch. "
58,Present Perfect: with 'ever' and 'never',"We use Present Perfect + ever/never to talk about life experiences without saying when.
ever = at any time in your life (in questions)
never = not at any time in your life (in negative sentences)
 Structure:
Have/Has + subject + ever + past participle?
Subject + have/has + never + past participle.
","1. Have you ever eaten sushi?
2. Has she ever been to London?
3. I have never tried skiing.
4. He has never seen a lion."
59,"Present Perfect: with 'just', 'already', and 'yet'","We use Present Perfect + just/already/yet to talk about actions that happened recently or before now.
just = a very short time ago
already = earlier than expected
yet = until now (in questions and negatives)
 Structure:
Subject + have/has + just/already + past participle (for positive sentences)
Have/Has + subject + past participle + yet? (for questions)
Subject + have/has + not + past participle + yet (for negatives)","1. I have just finished my homework.
2. She has just arrived at the airport.
3. We have already eaten lunch.
4. They haven’t visited the new park yet."
